epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,750.791,1.03913,0.64131,0.99607,0.79076,0.76572,0.81066,0.49186,1.4571,0.92136,1.25097,0.000540037,0.000540037,0.000540037
43,771.617,1.02604,0.63297,0.99374,0.76996,0.78134,0.81268,0.48131,1.49736,0.89956,1.2749,0.000531038,0.000531038,0.000531038
44,791.887,1.0322,0.62626,0.98982,0.76062,0.8027,0.81012,0.48505,1.51052,0.87179,1.28254,0.000522039,0.000522039,0.000522039
45,811.646,1.01221,0.61804,0.98874,0.74374,0.79098,0.81559,0.50117,1.48102,0.87499,1.26809,0.00051304,0.00051304,0.00051304
46,832.168,1.00216,0.60179,0.98062,0.72374,0.81612,0.82278,0.50372,1.46731,0.86036,1.27021,0.00050404,0.00050404,0.00050404
47,852.725,0.98576,0.59185,0.97364,0.78661,0.80233,0.82793,0.49441,1.49656,0.87924,1.28329,0.000495041,0.000495041,0.000495041
48,872.708,0.98949,0.60084,0.97491,0.81061,0.78116,0.83625,0.50429,1.49274,0.86067,1.29673,0.000486042,0.000486042,0.000486042
49,892.893,0.97905,0.59627,0.9744,0.79248,0.75466,0.82123,0.4882,1.47516,0.87002,1.26758,0.000477043,0.000477043,0.000477043
50,913.488,0.96197,0.58509,0.96636,0.83502,0.72229,0.81679,0.49121,1.51294,0.9545,1.2822,0.000468044,0.000468044,0.000468044
51,933.854,0.95743,0.57962,0.96555,0.83518,0.75678,0.82645,0.50485,1.52245,0.9352,1.28085,0.000459045,0.000459045,0.000459045
52,953.967,0.95394,0.58364,0.95803,0.76732,0.81194,0.82416,0.50173,1.47813,0.88687,1.2717,0.000450046,0.000450046,0.000450046
53,974.249,0.96069,0.57249,0.96134,0.71962,0.75696,0.80342,0.48004,1.52524,0.88684,1.31698,0.000441047,0.000441047,0.000441047
54,994.334,0.93099,0.56302,0.96024,0.75999,0.79245,0.83442,0.50225,1.48253,0.89468,1.28115,0.000432048,0.000432048,0.000432048
55,1014.67,0.92186,0.56743,0.95471,0.78648,0.79051,0.82865,0.50364,1.47304,0.84942,1.28287,0.000423049,0.000423049,0.000423049
56,1037.45,0.93045,0.56425,0.95613,0.76456,0.75609,0.81426,0.49785,1.49567,0.87421,1.29194,0.000414049,0.000414049,0.000414049
57,1058.07,0.91651,0.55365,0.94879,0.71291,0.80201,0.8088,0.5035,1.47891,0.90863,1.2837,0.00040505,0.00040505,0.00040505
58,1079.41,0.90316,0.5503,0.95381,0.71621,0.78465,0.79802,0.49753,1.47618,0.92226,1.27905,0.000396051,0.000396051,0.000396051
59,1100.47,0.91257,0.55041,0.95478,0.75455,0.79147,0.82651,0.5052,1.50082,0.90562,1.29678,0.000387052,0.000387052,0.000387052
60,1121.4,0.88798,0.5402,0.94099,0.77186,0.75962,0.8061,0.49372,1.48366,0.90942,1.29052,0.000378053,0.000378053,0.000378053
61,1142.97,0.89398,0.53865,0.94283,0.78446,0.75072,0.81872,0.49935,1.51106,0.89359,1.30319,0.000369054,0.000369054,0.000369054
62,1163.63,0.87558,0.53231,0.93966,0.69379,0.76025,0.79083,0.48425,1.49763,0.88343,1.30098,0.000360055,0.000360055,0.000360055
63,1184.88,0.87449,0.53031,0.93476,0.749,0.7567,0.81078,0.49501,1.485,0.89739,1.29135,0.000351056,0.000351056,0.000351056
64,1205.43,0.86431,0.52291,0.92856,0.79832,0.7739,0.83305,0.51188,1.50176,0.90908,1.29796,0.000342057,0.000342057,0.000342057
65,1227.6,0.85738,0.51854,0.93211,0.73275,0.78463,0.81446,0.48505,1.51282,0.8954,1.31952,0.000333058,0.000333058,0.000333058
66,1249.92,0.8495,0.51522,0.92846,0.80494,0.74973,0.82777,0.50259,1.49228,0.90587,1.31245,0.000324058,0.000324058,0.000324058
67,1271.61,0.83583,0.504,0.92203,0.80543,0.72756,0.82798,0.50322,1.50336,0.90126,1.31101,0.000315059,0.000315059,0.000315059
68,1292.94,0.83625,0.50729,0.92417,0.76701,0.78146,0.82148,0.4974,1.48246,0.91275,1.30812,0.00030606,0.00030606,0.00030606
69,1314.2,0.84227,0.50064,0.92311,0.78926,0.77137,0.81543,0.49547,1.48302,0.88967,1.32385,0.000297061,0.000297061,0.000297061
70,1335.26,0.82374,0.49885,0.92482,0.7511,0.80607,0.8352,0.4958,1.51285,0.89816,1.32871,0.000288062,0.000288062,0.000288062
71,1356.78,0.8216,0.49783,0.92003,0.78173,0.77807,0.81353,0.49897,1.4938,0.9184,1.32103,0.000279063,0.000279063,0.000279063
72,1378.06,0.80959,0.49519,0.91584,0.67751,0.80291,0.80963,0.49136,1.47373,0.88252,1.29962,0.000270064,0.000270064,0.000270064
73,1400.06,0.80232,0.48387,0.91145,0.79748,0.7317,0.81542,0.49051,1.49152,0.89845,1.31869,0.000261065,0.000261065,0.000261065
74,1421.74,0.81592,0.49674,0.91465,0.84255,0.72494,0.83436,0.51002,1.49634,0.92456,1.32676,0.000252066,0.000252066,0.000252066
75,1444.94,0.7921,0.47867,0.91142,0.85298,0.71383,0.8196,0.4926,1.52084,0.91417,1.34513,0.000243067,0.000243067,0.000243067
76,1465.45,0.78171,0.48222,0.91185,0.83108,0.70769,0.81934,0.50728,1.49112,0.89659,1.32243,0.000234068,0.000234068,0.000234068
77,1486.64,0.78953,0.48495,0.9095,0.78893,0.76356,0.83938,0.51291,1.48408,0.91748,1.31245,0.000225068,0.000225068,0.000225068
78,1507.84,0.7926,0.48712,0.91249,0.81563,0.76923,0.84065,0.50206,1.4989,0.89013,1.3313,0.000216069,0.000216069,0.000216069
79,1531.46,0.77136,0.46981,0.90227,0.7847,0.75054,0.83059,0.50183,1.472,0.91445,1.32195,0.00020707,0.00020707,0.00020707
80,1552.95,0.76537,0.46746,0.90084,0.80839,0.75558,0.83235,0.50819,1.47742,0.94636,1.32057,0.000198071,0.000198071,0.000198071
81,1574.96,0.7591,0.46097,0.89911,0.74411,0.81789,0.82782,0.51345,1.46967,0.92264,1.31723,0.000189072,0.000189072,0.000189072
82,1596.6,0.76038,0.46045,0.90185,0.87006,0.71622,0.82079,0.50262,1.48627,0.91,1.32881,0.000180073,0.000180073,0.000180073
83,1618.34,0.75575,0.46138,0.89437,0.74399,0.80308,0.80714,0.50087,1.49539,0.91739,1.33241,0.000171074,0.000171074,0.000171074
84,1639.94,0.74828,0.46127,0.89943,0.75302,0.80736,0.82345,0.50629,1.5045,0.92525,1.33352,0.000162075,0.000162075,0.000162075
85,1661.79,0.74551,0.4491,0.89712,0.78253,0.77626,0.83453,0.50557,1.50465,0.91387,1.33485,0.000153076,0.000153076,0.000153076
86,1683.59,0.73916,0.44967,0.89424,0.81757,0.75068,0.82554,0.49974,1.49386,0.92563,1.33559,0.000144077,0.000144077,0.000144077
87,1706.1,0.7301,0.44466,0.89528,0.75008,0.79639,0.82093,0.50266,1.49448,0.91337,1.32887,0.000135077,0.000135077,0.000135077
88,1727.29,0.72457,0.44478,0.89372,0.72697,0.81275,0.81673,0.50282,1.49816,0.92634,1.33274,0.000126078,0.000126078,0.000126078
89,1748.44,0.7341,0.44668,0.89509,0.80972,0.76274,0.82273,0.50638,1.49681,0.92717,1.34128,0.000117079,0.000117079,0.000117079
90,1770.09,0.72598,0.442,0.89581,0.83536,0.75988,0.82569,0.50765,1.49573,0.91531,1.3355,0.00010808,0.00010808,0.00010808
91,1838.04,0.67112,0.39529,0.88367,0.74615,0.77059,0.80736,0.4992,1.49166,0.92514,1.34436,9.9081e-05,9.9081e-05,9.9081e-05
92,1855.68,0.63611,0.37791,0.8663,0.78908,0.75304,0.82282,0.50624,1.49915,0.92151,1.35625,9.00819e-05,9.00819e-05,9.00819e-05
93,1874.17,0.61871,0.36235,0.86186,0.75285,0.7914,0.82124,0.51156,1.49198,0.92742,1.34496,8.10828e-05,8.10828e-05,8.10828e-05
94,1892.91,0.60796,0.36098,0.85694,0.76297,0.77537,0.82516,0.50636,1.50082,0.9245,1.35579,7.20837e-05,7.20837e-05,7.20837e-05
95,1911.96,0.60266,0.36303,0.85714,0.7371,0.79187,0.82777,0.5184,1.49602,0.92048,1.35547,6.30846e-05,6.30846e-05,6.30846e-05
96,1933.65,0.59559,0.35281,0.8598,0.75396,0.80828,0.82821,0.51678,1.49764,0.92231,1.35543,5.40855e-05,5.40855e-05,5.40855e-05
97,1953.2,0.59308,0.35754,0.85566,0.73512,0.81522,0.82728,0.51501,1.48981,0.91802,1.35514,4.50864e-05,4.50864e-05,4.50864e-05
98,1973.22,0.59011,0.35273,0.85425,0.74565,0.79551,0.82922,0.50981,1.49932,0.92583,1.36356,3.60873e-05,3.60873e-05,3.60873e-05
99,1993.51,0.58683,0.34956,0.85584,0.76564,0.78827,0.82972,0.51435,1.48892,0.92358,1.35423,2.70882e-05,2.70882e-05,2.70882e-05
100,2013.86,0.58437,0.3528,0.85262,0.76852,0.77695,0.82804,0.51327,1.48987,0.92364,1.35545,1.80891e-05,1.80891e-05,1.80891e-05
